,area,price,sqFt,sqFt price,Bedrooms,posted date
598," Aparna Zenon, Puppalaguda",,1990 SqFeet,,3 Bedroom,
599," Aparna Zenon, Puppalaguda",,2765 SqFeet,,4 Bedroom,
600," Aakriti Esta, Tellapur",,2036 SqFeet,,3 Bedroom,
601," Honey Dew, Tellapur",,2026 SqFeet,,3 Bedroom,
602," Honey Dew, Tellapur",,1058 SqFeet,,2 Bedroom,
603," Aditya Beaumont, Jubilee",1.45 crore,1700 SqFeet,8529,3 Bedroom,
604," Sun Towers, Kollur",73.87 lakhs,1296 SqFeet,5700,2 Bedroom,
605," Sun Towers, Kollur",1.05 crore,1967 SqFeet,5338,3 Bedroom,
606," Empress Heights, Shaikpet",1.09 crore,2140 SqFeet,5093,3 Bedroom,
607," Empress Heights, Shaikpet",65.89 lakhs,1292 SqFeet,5100,2 Bedroom,
608," Capitol Heights, Hitech",85.8 lakhs,1610 SqFeet,5329,3 Bedroom,
609," Aditya Heights, Hitech",92.97 lakhs,1844 SqFeet,5042,3 Bedroom,
610," Hallmark Vesta, Patighanpur",46.82 lakhs,1266 SqFeet,3698,2 Bedroom,
611," Hallmark Vesta, Patighanpur",63.1 lakhs,1706 SqFeet,3699,3 Bedroom,
612," Aparna One, Shaikpet",3.16 crores,2635 SqFeet,11992,3 Bedroom,
613," Sattva Magnus, Shaikpet",3.04 crores,2965 SqFeet,10253,4 Bedroom,
614," Aparna One, Shaikpet",6.25 crores,5216 SqFeet,11982,4 Bedroom,
615," Sattva Magnus, Shaikpet",1.77 crore,1865 SqFeet,9491,3 Bedroom,
616," Sarvani Elite, Aminpur",50.84 lakhs,1260 SqFeet,4035,3 Bedroom,
617," Sarvani Elite, Aminpur",37.35 lakhs,927 SqFeet,4029,2 Bedroom,
618," Aditya Monarch, Kondapur",,1965 SqFeet,,3 Bedroom,
619," Aditya Delmont, Shaikpet",,1700 SqFeet,,3 Bedroom,
620," Cybercity Oriana, Hitech",1.07 crore,2380 SqFeet,4496,3 Bedroom,
621," Cybercity Oriana, Hitech",89.36 lakhs,1250 SqFeet,7149,2 Bedroom,
622," Sree Heights, Yapral",78 lakhs,1330 SqFeet,5865,2 Bedroom,
623," Sree Heights, Yapral",1.8 crore,2950 SqFeet,6102,3 Bedroom,
624," Hallmark Sunnyside, Narsingi",76.22 lakhs,1210 SqFeet,6299,2 Bedroom,
625," One Harmony, Bachupally",95.68 lakhs,1595 SqFeet,5999,3 Bedroom,
626," One Harmony, Bachupally",69.29 lakhs,1155 SqFeet,5999,2 Bedroom,
627," Pramukh Elegance, Jeedimetla",59.39 lakhs,1100 SqFeet,5399,2 Bedroom,
628," Pramukh Elegance, Jeedimetla",81.52 lakhs,1510 SqFeet,5399,3 Bedroom,
629," Pramukh Elegance, Jeedimetla",1.7 crore,3150 SqFeet,5397,4 Bedroom,
630," Hallmark Sunnyside, Narsingi",1.04 crore,2228 SqFeet,4668,3 Bedroom,
631," Happening Heights, Dundigal",50.47 lakhs,1174 SqFeet,4299,2 Bedroom,
632," Spaces Ameya, Miyapur",1.01 crore,1940 SqFeet,5206,3 Bedroom,
633," Pranav Flora, Bahadurpally",49.57 lakhs,1153 SqFeet,4299,2 Bedroom,
634," Pranav Flora, Bahadurpally",,1500 SqFeet,,3 Bedroom,
635," Alladin County, Sanat",,1657 SqFeet,,3 Bedroom,
636," Happening Heights, Dundigal",,1191 SqFeet,,3 Bedroom,
637," Kowsalya Manidweepam, Bachupally",65.11 lakhs,1184 SqFeet,5499,2 Bedroom,
638," Kowsalya Manidweepam, Bachupally",1.01 crore,1832 SqFeet,5513,3 Bedroom,
639," Orange Estella, Karmanghat",1.18 crore,1963 SqFeet,6011,3 Bedroom,
640," Rajapushpa Provincia, Narsingi",98.63 lakhs,1370 SqFeet,7199,2 Bedroom,
641," Rajapushpa Provincia, Narsingi",1.23 crore,1715 SqFeet,7172,3 Bedroom,
642," Vasavi Township, Malkajgiri",64.22 lakhs,1235 SqFeet,5200,2 Bedroom,
643," Vinay Iconia, Gachibowli",1.25 crore,142.61 SqMeters,,2 Bedroom,
644," Vamsi Enclave, Hitech",90.53 lakhs,10000 SqFeet,905,3 Bedroom,
645," Accurate Windchimes, Narsingi",92 lakhs,110.09 SqMeters,,2 Bedroom,
646," Vinay Iconia, Gachibowli",2.15 crores,207.64 SqMeters,,3 Bedroom,
647," Ivy League, Kondapur",1.54 crore,81.75 SqMeters,,2 Bedroom,
648," Saket Pranaam, A",75 lakhs,95.5 SqMeters,,2 Bedroom,
649," Prajay Megapolis, Hitech",84 lakhs,117.52 SqMeters,,3 Bedroom,
650," Vinay Iconia, Gachibowli",1.4 crore,164.9 SqMeters,,3 Bedroom,
651," One City, Kukatpally",32 lakhs,60.39 SqMeters,,1 Bedroom,
652," Sarovar Zenith, Nallagandla",1.75 crore,119.31 SqMeters,,3 Bedroom,
653," RV Avaneendra, Miyapur",72 lakhs,111.48 SqMeters,,2 Bedroom,
654," Wiiz Lagoon, Nizampet",1.15 crore,143.16 SqMeters,,3 Bedroom,
655," Aditya Athena, Shaikpet",1.76 crore,136.16 SqMeters,,3 Bedroom,
656," Nivas Heights, Uppal",83 lakhs,150.41 SqMeters,,2 Bedroom,
657," Sarovar Zenith, Nallagandla",1.27 crore,139.82 SqMeters,,3 Bedroom,
658," High Fields, Nanakramguda",1.42 crore,139.35 SqMeters,,3 Bedroom,
659," Vaishnavi Oasis, Bandlaguda",92 lakhs,102.19 SqMeters,,3 Bedroom,
660," Empress Towers, Shaikpet",1.72 crore,195.1 SqMeters,,3 Bedroom,
661," High Fields, Nanakramguda",1.82 crore,126.91 SqMeters,,3 Bedroom,
662," Wiiz Lagoon, Nizampet",96 lakhs,120.31 SqMeters,,2 Bedroom,
663," Vinay Iconia, Gachibowli",2.25 crores,241.08 SqMeters,,3 Bedroom,
664," Time Waterfront, Patancheru",25 lakhs,115.2 SqMeters,,2 Bedroom,
665," Patel Smondo, Gachibowli",84.6 lakhs,104.05 SqMeters,,3 Bedroom,
666," Empire Meadows, Miyapur",1.5 crore,147.72 SqMeters,,3 Bedroom,
667," Nebula Aavaas, Miyapur",65.66 lakhs,107.77 SqMeters,,2 Bedroom,
668," Nebula Aavaas, Miyapur",68.96 lakhs,102.19 SqMeters,,2 Bedroom,
669," Nagarjuna Residency, Gachibowli",2.2 crores,204.39 SqMeters,,3 Bedroom,
670," Accurate Windchimes, Narsingi",1.04 crore,140.28 SqMeters,,3 Bedroom,
671," Jasmine County, Gachibowli",1.4 crore,161.65 SqMeters,,3 Bedroom,
672," Bonsai Homes, Tellapur",75 lakhs,1379 SqFeet,5439,3 Bedroom,
673," Lohitha Residency, Pragathi",73 lakhs,1500 SqFeet,4867,3 Bedroom,
674," Meadows II, Bibinagar",58 lakhs,1060 SqFeet,5472,2 Bedroom,
675," Janapriya Utopia, Attapur",30 lakhs,65.96 SqMeters,,2 Bedroom,
676," Sarovar Zenith, Nallagandla",1.75 crore,1960 SqFeet,8929,3 Bedroom,
677," Singapore Township, Pocharam",48 lakhs,1136 SqFeet,4225,2 Bedroom,
678," SBSV Avataar, Ramachandra",,1160 SqFeet,,2 Bedroom,
679," SBSV Avataar, Ramachandra",,1827 SqFeet,,3 Bedroom,
680," Singapore Township, Pocharam",,2227 SqFeet,,3 Bedroom,
681," Aditya Athena, Shaikpet",1.55 crore,2435 SqFeet,6366,3 Bedroom,
682," Aditya Athena, Shaikpet",65.92 lakhs,1030 SqFeet,6400,2 Bedroom,
683," Brigade Citadel, Moti",,1667 SqFeet,,3 Bedroom,
684," Provident Space, Rajendra",67 lakhs,1347 SqFeet,4974,3 Bedroom,
685," and Condos, Rajendra",29 lakhs,610 SqFeet,4754,2 Bedroom,
686," Lakeview Towers, Nizampet",53.5 lakhs,1335 SqFeet,4007,3 Bedroom,
687," Wiiz Lagoon, Nizampet",,2121 SqFeet,,3 Bedroom,
688," Aditya Lifestyle, Banjara",,5330 SqFeet,,4 Bedroom,
689," Le Grandiose, Jubilee",,4318 SqFeet,,3 Bedroom,
690," Casa Grande, Narsingi",,7300 SqFeet,,4 Bedroom,
691," SRR Pride, Bachupally",1.05 crore,1505 SqFeet,6999,3 Bedroom,
692," Richmond Villas, APPA",51.8 lakhs,1295 SqFeet,4000,2 Bedroom,
693," Krishna Enclave, Mallampet",28 lakhs,91.04 SqMeters,,2 Bedroom,
694," Vinay Iconia, Gachibowli",1.45 crore,149.57 SqMeters,,3 Bedroom,
695," Nagarjuna Residency, Gachibowli",2 crores,211.82 SqMeters,,3 Bedroom,
696," Vinay City, Miyapur",1.4 crore,2050 SqFeet,6829,4 Bedroom,
697," Vazhraa Vihhari, Manikonda",30 lakhs,1000 SqFeet,3000,2 Bedroom,
698," Jubilee Hills, Ghatkesar",33.32 lakhs,110.55 SqMeters,,2 Bedroom,
699," Jubilee Hills, Ghatkesar",42.8 lakhs,147.25 SqMeters,,3 Bedroom,
700," Sky Lounge, Kondapur",3.5 crores,339.1 SqMeters,,4 Bedroom,
701," DSR Lakeside, Gachibowli",1.7 crore,204.39 SqMeters,,3 Bedroom,
702," One City, Kukatpally",1 crore,112.97 SqMeters,,2 Bedroom,
703," Nebula Aavaas, Miyapur",19.21 lakhs,565 SqFeet,3400,1 Bedroom,
704," Nebula Aavaas, Miyapur",41.27 lakhs,1214 SqFeet,3400,2 Bedroom,
705," High Fields, Nanakramguda",1.52 crore,112.04 SqMeters,,3 Bedroom,
706," Prajay Megapolis, Hitech",63 lakhs,57.6 SqMeters,,2 Bedroom,
707," Jubilee Hills, Ghatkesar",42.75 lakhs,132.39 SqMeters,,3 Bedroom,
708," Quiescent Heights, Hitech",2.2 crores,211.35 SqMeters,,3 Bedroom,
709," Pranav Antilia, Bachupally",80.17 lakhs,1554 SqFeet,5159,3 Bedroom,
710," Vinay Iconia, Gachibowli",2.04 crores,223.9 SqMeters,,3 Bedroom,
711," Jubilee Hills, Ghatkesar",41.33 lakhs,132.39 SqMeters,,3 Bedroom,
712," Vista Heights, Mehdipatnam",42 lakhs,104.33 SqMeters,,2 Bedroom,
713," PBEL City, APPA",80 lakhs,118.92 SqMeters,,2 Bedroom,
714," Bhanu Township, Miyapur",65 lakhs,1830 SqFeet,3552,3 Bedroom,
715," Ivy League, Kondapur",2.75 crores,324.6 SqMeters,,4 Bedroom,
716," Nakshatra Pride, Narsingi",52.36 lakhs,1190 SqFeet,4400,2 Bedroom,
717," Empress Towers, Shaikpet",1.5 crore,184.88 SqMeters,,3 Bedroom,
718," Jubilee Hills, Ghatkesar",2.2 crores,176.52 SqMeters,,3 Bedroom,
719," Prajay Megapolis, Hitech",85 lakhs,109.53 SqMeters,,3 Bedroom,
720," Heritage Valley, Shadnagar",52.93 lakhs,1203 SqFeet,4400,3 Bedroom,
721," Ridge Springs, Gachibowli",1.5 crore,237.83 SqMeters,,4 Bedroom,
722," Aparna Sarovar, Nallagandla",62 lakhs,103.12 SqMeters,,2 Bedroom,
723," Accurate Windchimes, Narsingi",81.5 lakhs,116.13 SqMeters,,2 Bedroom,
724," Ivy League, Kondapur",2.72 crores,297.29 SqMeters,,4 Bedroom,
725," High Fields, Nanakramguda",2.5 crores,2729 SqFeet,9161,5 Bedroom,
726," Elegant Floatilla, Manikonda",92 lakhs,160.72 SqMeters,,3 Bedroom,
727," Ridge Springs, Gachibowli",2.1 crores,277.78 SqMeters,,4 Bedroom,
728," Vinay Iconia, Gachibowli",1.59 crore,187.48 SqMeters,,3 Bedroom,
729," Vinay Iconia, Gachibowli",90.08 lakhs,133.78 SqMeters,,2 Bedroom,
730," Jasmine County, Gachibowli",1.6 crore,186.27 SqMeters,,3 Bedroom,
731," Lansum Etania, Gachibowli",1.6 crore,228.54 SqMeters,,3 Bedroom,
732," Mayfair Villas, Tellapur",30 lakhs,900 SqFeet,3333,2 Bedroom,
733," Lohitha Residency, Pragathi",52.5 lakhs,1250 SqFeet,4200,2 Bedroom,
734," Luxor Park, Kondapur",2.46 crores,3075 SqFeet,8000,4 Bedroom,
735," Luxor Park, Kondapur",1.62 crore,2025 SqFeet,8000,3 Bedroom,
736," Accurate Windchimes, Narsingi",70 lakhs,101.26 SqMeters,,2 Bedroom,
737," Vinay Iconia, Gachibowli",1.24 crore,1908 SqFeet,6499,3 Bedroom,
738," Vinay Iconia, Gachibowli",1.9 crore,2925 SqFeet,6496,4 Bedroom,
739," Vazhraa Vihhari, Manikonda",1.12 crore,2010 SqFeet,5572,3 Bedroom,
740," Vazhraa Vihhari, Manikonda",70.56 lakhs,1260 SqFeet,5600,2 Bedroom,
741," Nakshatra Pride, Narsingi",53.41 lakhs,1723 SqFeet,3100,3 Bedroom,
742," Jade Greens, Shadnagar",1.2 crore,975 SqFeet,12308,2 Bedroom,
743," Jade Greens, Shadnagar",40 lakhs,475 SqFeet,8421,1 Bedroom,
744," Mayfair Villas, Tellapur",67.59 lakhs,1261 SqFeet,5360,2 Bedroom,
745," SSK Platinum, Miyapur",47.12 lakhs,1240 SqFeet,3800,2 Bedroom,
746," Provident Kenworth, Rajendra",94 lakhs,1900 SqFeet,4947,4 Bedroom,
747," Provident Kenworth, Rajendra",61.29 lakhs,1047 SqFeet,5854,3 Bedroom,
748," Provident Kenworth, Rajendra",51.89 lakhs,928 SqFeet,5592,2 Bedroom,
749," Provident Kenworth, Rajendra",22.79 lakhs,380 SqFeet,5997,1 Bedroom,
750," Empress Towers, Shaikpet",92 lakhs,1575 SqFeet,5841,3 Bedroom,
751," The Grove, Hitech",1.85 crore,2965 SqFeet,6239,4 Bedroom,
752," One Marvel, Kukatpally",59.11 lakhs,1620 SqFeet,3649,3 Bedroom,
753," One Marvel, Kukatpally",41.05 lakhs,1125 SqFeet,3649,2 Bedroom,
754," The Grove, Hitech",1.16 crore,1870 SqFeet,6203,3 Bedroom,
755," VB City, Bollarum",31.99 lakhs,842 SqFeet,3799,2 Bedroom,
756," Padmavathi Icon, Miyapur",,1080 SqFeet,,2 Bedroom,
757," Padmavathi Icon, Miyapur",,1320 SqFeet,,3 Bedroom,
758," Pacifica Hillcrest, Gachibowli",2.3 crores,210.52 SqMeters,,4 Bedroom,
759," Park Avenues, Chanda",1.15 crore,1700 SqMeters,,3 Bedroom,
760," Aparna Cyberzon, Nallagandla",1.25 crore,147.25 SqMeters,,3 Bedroom,
761," Urban One, Kokapet",1.96 crore,314.01 SqMeters,,4 Bedroom,
762," Patel Smondo, Gachibowli",93.13 lakhs,133.32 SqMeters,,3 Bedroom,
763," Ridge Springs, Gachibowli",1.79 crore,277.78 SqMeters,,4 Bedroom,
764," DSR Lakeside, Gachibowli",1.58 crore,221.57 SqMeters,,3 Bedroom,
765," Ivy League, Kondapur",2.73 crores,281.31 SqMeters,,4 Bedroom,
766," Aparna Sarovar, Nallagandla",1.65 crore,183.02 SqMeters,,3 Bedroom,
767," Ashoka Lakeside, Manikonda",86 lakhs,111.48 SqMeters,,2 Bedroom,
768," Casa Paradiso, Sanat",1.65 crore,148.64 SqMeters,,3 Bedroom,
769," Vinay City, Miyapur",66.24 lakhs,1380 SqFeet,4800,2 Bedroom,
770," One City, Kukatpally",89.98 lakhs,1475 SqFeet,6100,2 Bedroom,
771," One City, Kukatpally",1.5 crore,2595 SqFeet,5780,3 Bedroom,
772," One City, Kukatpally",1.55 crore,1931 SqFeet,8027,3 Bedroom,
773," One City, Kukatpally",1.26 crore,1860 SqFeet,6800,3 Bedroom,
774," One City, Kukatpally",1.09 crore,1740 SqFeet,6264,3 Bedroom,
775," One City, Kukatpally",70 lakhs,1300 SqFeet,5385,2 Bedroom,
776," One City, Kukatpally",77.51 lakhs,1592 SqFeet,4869,3 Bedroom,
777," One City, Kukatpally",30.5 lakhs,842 SqFeet,3622,2 Bedroom,
778," Hill Crest, Jubilee",40 lakhs,1200 SqFeet,3333,2 Bedroom,
779," Welkin Park, Begumpet",39 lakhs,840 SqFeet,4643,2 Bedroom,
780," Bonsai Homes, Tellapur",45 lakhs,1175 SqFeet,3830,2 Bedroom,
781," Le Park, Kondapur",1.6 crore,2300 SqFeet,6957,3 Bedroom,
782," Bonsai Homes, Tellapur",1.4 crore,1842 SqFeet,7600,3 Bedroom,
783," Richmond Villas, APPA",58 lakhs,1208 SqFeet,4801,2 Bedroom,
784," PBEL City, APPA",39 lakhs,842 SqFeet,4632,2 Bedroom,
785," Tranquil Towers, Kondapur",45 lakhs,1121 SqFeet,4014,2 Bedroom,
786," Vasavi Township, Malkajgiri",38.5 lakhs,1000 SqFeet,3850,2 Bedroom,
787," Pacifica Hillcrest, Gachibowli",95.5 lakhs,1215 SqFeet,7860,3 Bedroom,
788," Prime Meadows, Nizampet",80 lakhs,1800 SqFeet,4444,3 Bedroom,
789," Aryamitra Florina, Kokapet",49.53 lakhs,1270 SqFeet,3900,2 Bedroom,
790," Aryamitra Florina, Kokapet",74.95 lakhs,1922 SqFeet,3900,3 Bedroom,
791," Pacifica Hillcrest, Gachibowli",99.99 lakhs,1325 SqFeet,7546,2 Bedroom,
792," Vaishnavi Oasis, Bandlaguda",73.6 lakhs,1600 SqFeet,4600,3 Bedroom,
793," Vaishnavi Oasis, Bandlaguda",1.27 crore,2771 SqFeet,4583,4 Bedroom,
794," Vaishnavi Oasis, Bandlaguda",57 lakhs,1225 SqFeet,4653,2 Bedroom,
795," Pacifica Hillcrest, Gachibowli",1.17 crore,1600 SqFeet,7312,3 Bedroom,
796," Pacifica Hillcrest, Gachibowli",1.03 crore,1492 SqFeet,6903,4 Bedroom,
797," Executive Park, Bandlaguda",61.62 lakhs,1340 SqFeet,4598,3 Bedroom,
798," Urban One, Kokapet",1.47 crore,2540 SqFeet,5787,3 Bedroom,
799," Urban One, Kokapet",1.28 crore,3380 SqFeet,3787,4 Bedroom,
800," Urban One, Kokapet",1.14 crore,2630 SqFeet,4335,4 Bedroom,
801," Urban One, Kokapet",75 lakhs,1535 SqFeet,4886,3 Bedroom,
802," Koncept Botanika, Gachibowli",3.37 crores,3959 SqFeet,8512,4 Bedroom,
803," Koncept Botanika, Gachibowli",4.69 crores,6951 SqFeet,6747,5 Bedroom,
804," Jasmine County, Gachibowli",1.06 crore,1555 SqFeet,6817,3 Bedroom,
805," Jasmine County, Gachibowli",1.42 crore,2085 SqFeet,6811,3 Bedroom,
806," Aparna Cyberzon, Nallagandla",53.52 lakhs,1245 SqFeet,4299,2 Bedroom,
807," One Galaxia, Nallagandla",71.46 lakhs,1260 SqFeet,5671,2 Bedroom,
808," Aparna Cyberzon, Nallagandla",79.74 lakhs,1855 SqFeet,4299,3 Bedroom,
809," One Galaxia, Nallagandla",1.05 crore,1860 SqFeet,5645,3 Bedroom,
810," PBEL City, APPA",50.74 lakhs,1400 SqFeet,3624,2 Bedroom,
811," Prime Meadows, Nizampet",44.65 lakhs,1175 SqFeet,3800,2 Bedroom,
812," Tirumala Arcade, Hasmatpet",45 lakhs,1105 SqFeet,4072,2 Bedroom,
813," Ramky Towers, Gachibowli",60 lakhs,1265 SqFeet,4743,3 Bedroom,
814," Ramky Towers, Gachibowli",1 crore,1860 SqFeet,5376,3 Bedroom,
815," Serene County, Gachibowli",67.52 lakhs,1122 SqFeet,6018,2 Bedroom,
816," Krishna Enclave, Mallampet",42 lakhs,1000 SqYards,,2 Bedroom,
817," Modi Splendour, Gajularamaram",52 lakhs,1625 SqFeet,3200,3 Bedroom,
818," Aakruthi Shantiniketan, Kompalli",55 lakhs,1050 SqFeet,5238,2 Bedroom,
819," Skypx Heights, Secunderabad",17.4 lakhs,941 SqFeet,1849,2 Bedroom,
820," Skypx Heights, Secunderabad",22.97 lakhs,1242 SqFeet,1849,3 Bedroom,
821," Park Avenues, Chanda",89.28 lakhs,1670 SqFeet,5346,3 Bedroom,
822," Park Avenues, Chanda",55.04 lakhs,1150 SqFeet,4786,2 Bedroom,
823," phase I, Kukatpally",80 lakhs,1225 SqFeet,6531,3 Bedroom,
824," Accurate Windchimes, Narsingi",84.09 lakhs,1605 SqFeet,5239,3 Bedroom,
825," Accurate Windchimes, Narsingi",70 lakhs,1460 SqFeet,4795,2 Bedroom,
826," PBEL City, APPA",70 lakhs,1524 SqFeet,4593,2 Bedroom,
827," Ashoka Lakeside, Manikonda",58.07 lakhs,1335 SqFeet,4350,2 Bedroom,
828," Ashoka Lakeside, Manikonda",97.35 lakhs,2238 SqFeet,4350,3 Bedroom,
829," Prajay Megapolis, Hitech",90 lakhs,1501 SqFeet,5996,3 Bedroom,
830," Hill Crest, Jubilee",1.15 crore,1700 SqFeet,6765,3 Bedroom,
831," Hill Crest, Jubilee",1.15 crore,1760 SqFeet,6534,3 Bedroom,
832," Empire Meadows, Miyapur",45 lakhs,1250 SqFeet,3600,2 Bedroom,
833," City II, Ibrahimpatnam",28 lakhs,855 SqFeet,3275,2 Bedroom,
834," Ivy League, Kondapur",87 lakhs,1327 SqFeet,6556,2 Bedroom,
835," Ivy League, Kondapur",1.12 crore,1738 SqFeet,6444,3 Bedroom,
836," Ivy League, Kondapur",1.97 crore,3031 SqFeet,6500,4 Bedroom,
837," Sky Park, Srisailam",69.21 lakhs,1538 SqFeet,4500,3 Bedroom,
838," Rainbow Vistas, Hitech",1.25 crore,2160 SqFeet,5787,3 Bedroom,
839," Vintage Boulevard, Somajiguda",1 crore,1700 SqFeet,5882,3 Bedroom,
840," DSR Lakeside, Gachibowli",1.45 crore,2400 SqFeet,6042,3 Bedroom,
841,,95 lakhs,1590 SqFeet,5975,3 Bedroom,
842," Tranquil Towers, Kondapur",54 lakhs,1189 SqFeet,4542,2 Bedroom,
843," Lakshmi Residency, Nizampet",51.2 lakhs,1350 SqFeet,3793,3 Bedroom,
844," Atlantic Pearl, Miyapur",74 lakhs,1405 SqFeet,5267,3 Bedroom,
845," Gulmohar Gardens, Habshiguda",65 lakhs,1490 SqFeet,4362,3 Bedroom,
846," Vinay City, Miyapur",1.16 crore,1850 SqFeet,6270,3 Bedroom,
847," Sagar Residency, Moula",59.34 lakhs,1410 SqFeet,4209,3 Bedroom,
848," Green Hills, Chanda",70 lakhs,1640 SqFeet,4268,3 Bedroom,
849," Grand Neville, Aminpur",84 lakhs,2320 SqFeet,3621,3 Bedroom,
850," Imperial Heights, Hitech",1.5 crore,2100 SqFeet,7143,3 Bedroom,
851," Homes Panache, Gachibowli",57.14 lakhs,1270 SqFeet,4499,3 Bedroom,
852," Lanco Hills, Hitech",85 lakhs,1375 SqFeet,6182,3 Bedroom,
853," JR Residency, Sri",45 lakhs,1365 SqFeet,3297,3 Bedroom,
854," Aliens Elite, Miyapur",50 lakhs,1122 SqFeet,4456,,
855," High Fields, Nanakramguda",64.79 lakhs,1283 SqFeet,5050,2 Bedroom,
856," High Fields, Nanakramguda",89.49 lakhs,1772 SqFeet,5050,3 Bedroom,
857," High Fields, Nanakramguda",71.2 lakhs,1410 SqFeet,5050,2 Bedroom,
858," Homes Panache, Gachibowli",54.4 lakhs,1265 SqFeet,4300,2 Bedroom,
859," Sky Park, Srisailam",73 lakhs,1673 SqFeet,4363,3 Bedroom,
860," Aliens Elite, Miyapur",71 lakhs,1775 SqFeet,4000,3 Bedroom,
861," Happy Homes, Rajendra",33.5 lakhs,1195 SqFeet,2803,3 Bedroom,
862," Quiescent Heights, Hitech",1.73 crore,2985 SqFeet,5800,4 Bedroom,
863," Heights II, Secunderabad",40 - 60 lacs,1105 SqFeet,,2 Bedroom,
864," Quiescent Heights, Hitech",1.73 crore,2985 SqFeet,5800,4 Bedroom,
865," Casa Paradiso, Sanat",95 lakhs,1818 SqFeet,5226,3 Bedroom,
866," ARK Towers, Miyapur",,,,2 Bedroom,
867,,50 lakhs,1253 SqFeet,3990,3 Bedroom,
868," Imperial Heights, Hitech",40 - 60 lacs,1250 SqFeet,,2 Bedroom,
869," Carlton Creek, Gachibowli",1.05 crore,2100 SqFeet,5000,4 Bedroom,
870," Happy Homes, Rajendra",76 lakhs,1465 SqFeet,5188,3 Bedroom,
871,,60 lacs - 1 crore,1780 SqFeet,,3 Bedroom,
872," Prajay Megapolis, Hitech",41 lakhs,993 SqFeet,4129,2 Bedroom,
873," Saket Sriyam, Kapra",38.5 lakhs,900 SqFeet,4278,2 Bedroom,
874," Modi Splendour, Gajularamaram",22 lakhs,820 SqFeet,2683,2 Bedroom,
875," Fort View, Hydershakote",30.03 lakhs,1155 SqFeet,2600,2 Bedroom,
876," Nile Valley, Madinaguda",50 lakhs,1450 SqFeet,3448,3 Bedroom,
877," Modi Splendour, Gajularamaram",42.5 lakhs,1933 SqFeet,2199,3 Bedroom,
878,,49.5 lakhs,,,2 Bedroom,
879," Heights II, Secunderabad",45 lakhs,1300 SqFeet,3462,3 Bedroom,
880," Raghava Residency, Madinaguda",50 lakhs,1190 SqFeet,4202,2 Bedroom,
881," Lanco Hills, Hitech",2 - 2.5 crores,3300 SqFeet,,4 Bedroom,
882," Lanco Hills, Hitech",42.1 lakhs,,,2 Bedroom,
883," Nile Valley, Madinaguda",34 lakhs,1050 SqFeet,3238,2 Bedroom,
884," Waterfront City, Shameerpet",18.85 lakhs,835 SqFeet,2257,2 Bedroom,
885," Le Park, Kondapur",35 lakhs,1440 SqFeet,2431,3 Bedroom,
886," Imperial Heights, Hitech",75 lakhs,1490 SqFeet,5034,3 Bedroom,
887," Executive Park, Bandlaguda",65.74 lakhs,1730 SqFeet,3800,3 Bedroom,
888," Lanco Hills, Hitech",60 lacs - 1 crore,1195 SqFeet,,2 Bedroom,
889," Lansum Etania, Gachibowli",81.3 lakhs,1890 SqFeet,4302,3 Bedroom,
890," Vamsi Enclave, Hitech",39.22 lakhs,1060 SqFeet,3700,2 Bedroom,
891,,44.5 lakhs,1110 SqFeet,4009,2 Bedroom,
892," Janapriya Metropolis, Moti",28.7 lakhs,850 SqFeet,3376,2 Bedroom,
893," Janapriya Metropolis, Moti",42.1 lakhs,1250 SqFeet,3368,3 Bedroom,
894," Aliens Elite, Miyapur",78 lakhs,2020 SqFeet,3861,3 Bedroom,
895," Coconut Grove, Miyapur",43.5 lakhs,1094 SqFeet,3976,2 Bedroom,
896," Aditya Sunshine, Kondapur",1.2 crore,2120 SqFeet,5660,3 Bedroom,
897," Gardenia Towers, Bowenplly",52 lakhs,1900 SqFeet,2737,3 Bedroom,
898," Nivas Heights, Uppal",49 lakhs,1555 SqFeet,3151,3 Bedroom,
899," Gulmohar Gardens, Habshiguda",45.5 lakhs,1150 SqFeet,3957,3 Bedroom,
900," Vinay City, Miyapur",63 lakhs,1600 SqFeet,3938,3 Bedroom,
901," Empire Meadows, Miyapur",48 lakhs,1200 SqFeet,4000,3 Bedroom,
902," Grand Neville, Aminpur",36 lakhs,1161 SqFeet,3101,2 Bedroom,
903," Lanco Hills, Hitech",90 lakhs,1568 SqFeet,5740,3 Bedroom,
904," JR Residency, Sri",72.9 lakhs,1250 SqFeet,5832,3 Bedroom,
905," Lodha Meridian, Kukatpally",1.4 crore,1854 SqFeet,7551,3 Bedroom,
906," Anu Residency, Kondapur",40 lakhs,1280 SqFeet,3125,3 Bedroom,
907," Anu Residency, Kondapur",31.3 lakhs,1130 SqFeet,2770,2 Bedroom,
908," Lodha Meridian, Kukatpally",95 lakhs,1252 SqFeet,7588,2 Bedroom,
909," Imperial Heights, Hitech",65 lakhs,1490 SqFeet,4362,3 Bedroom,
910," Imperial Heights, Hitech",81 lakhs,2000 SqFeet,4050,3 Bedroom,
911,,65 lakhs,1480 SqFeet,4392,3 Bedroom,
912," Vinay City, Miyapur",60 lacs - 1 crore,1940 SqFeet,,3 Bedroom,
913," Dream Land, Kompalli",29 lakhs,,,2 Bedroom,
914," Lifespaces Ashvita, Kukatpally",62.97 lakhs,1262 SqFeet,4990,2 Bedroom,
915," Grand Neville, Aminpur",57 lakhs,1579 SqFeet,3610,3 Bedroom,
